2,61952
1,66563
1,20069
5,18284
4,148691
5,130915
5,131944
1,9478
5,30647
3,93079
2,109878
1,56308
5,251487
2,3170
2,105039
4,75665
2,6500
2,40306
4,81162
2,70103
3,80504
4,182208
1,4475
1,3167
4,108098
1,5032
3,91925
3,77961
2,7754
5,165636
2,62836
4,105192
2,10700
2,63029
4,70125
5,144343
2,80401
4,201823
5,78084
4,85191
2,9132
5,125567
2,34495
2,5443
2,3957
5,162383
4,12551
5,120929
5,166827
4,27002
5,55811
3,23087
2,68716
4,252045
3,101673
2,243509
1,4867
4,116751
3,6104
2,3446
14,445260
18,462241
14,534099
13,364504
17,493100
11,298104
14,455377
10,243917
11,322606
12,277196
9,307752
19,535278
10,337749
7,28178
20,555892
14,347450
7,233248
10,393952
6,257599
12,180782
10,268442
18,650047
16,561461
13,416253
18,559339
19,649559
13,365824
10,298779
14,418323
14,421603
15,413782
22,733601
24,851987
30,730714
30,673368
29,674080
21,732457
25,505724
29,692910
23,782075
29,933982
2,13549
5,14180
2,9451
4,11684
1,2104
4,35214
5,17530
3,8921
4,13339
3,4130
1,4100
1,1305
1,4028
4,38741
4,5777
2,4618
4,26852
3,15277
3,13377
2,1864
4,13009
4,14767
3,25470
3,6337
2,4621
5,18285
1,3792
1,1172
3,20324
5,28243
1,7269
2,7055
1,2385
2,4718
4,7984
1,1966
1,17645
16,84575
11,35428
6,21173
6,27919
13,65623
18,64818
6,19971
13,47525
9,35220
13,51596
8,36822
16,59521
16,56486
9,59912
10,22795
7,31190
15,54755
18,117219
13,62369
21,100325
28,98136
28,106691
21,80163
25,107536
29,127313
4,186327
2,270101
5,275758
5,262389
2,50232
4,288876
1,5403
3,75321
4,135475
1,5702
4,467689
4,127758
3,154966
3,189132
1,135600
2,212495
5,195250
5,311783
3,179600
4,265790
4,225008
2,59315
15,905835
14,768146
16,1054751
13,512668
7,491023
16,1011497
6,433502
10,469087
9,717290
17,949387
20,1544672
18,1280308
22,1736833
24,1698752
28,2052827
5,265871
1,7272
1,91990
1,3051
3,5034
4,151347
5,174845
5,116485
3,68815
4,36996
3,60930
1,5517
3,74392
2,101613
1,1966
5,284964
3,54675
4,132236
5,39993
4,178491
3,27988
4,176238
4,95426
5,108026
3,16221
1,20882
5,287221
1,1305
2,27968
3,69823
20,577170
16,417305
13,232947
20,584779
17,377363
7,216191
12,177828
20,528518
10,178518
12,351120
16,284482
13,266339
19,401402
10,368151
